h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
875262c24ffffff,0.0,"POLYGON ((20.08059643594871 49.996652305823694, 20.06849174867241 49.99335574493476, 20.060360227073637 50.0019054631155, 20.064331678966322 50.01374999610917, 20.07643395040423 50.01704785013644, 20.084567185650894 50.00849987858234, 20.08059643594871 49.996652305823694, 20.08059643594871 49.996652305823694))",9399.622644685858,100058.04107192502,417884.80304460437,69,15387683786.699673,11072.248968164673
875262d76ffffff,1466.3333997045254,"POLYGON ((20.14905477187092 50.03684799541333, 20.13695045126919 50.03354642030325, 20.12881136688169 50.0420936505832, 20.13277489362965 50.0539407048898, 20.144876796262327 50.05724357102854, 20.153017589978184 50.048698092383276, 20.14905477187092 50.03684799541333, 20.14905477187092 50.03684799541333))",4056.942305663425,76926.39456597736,234045.9922719048,25,15438383066.130993,16005.633062546332
875262cebffffff,43.421477752275386,"POLYGON ((19.87015867461221 50.089740511917235, 19.858076198161317 50.0864442197579, 19.84997050614578 50.09495747640106, 19.85394557253609 50.106765280131526, 19.866025632551725 50.1100628512978, 19.874133042473535 50.10155134027287, 19.87015867461221 50.089740511917235, 19.87015867461221 50.089740511917235))",6147.173169783521,68676.07719955954,1425772.7656728392,32,15745383579.325848,17475.365714478477
875262d52ffffff,5749.827344674901,"POLYGON ((20.072270478885642 50.037435679426586, 20.060170623923156 50.03413653431001, 20.052040534085602 50.042677248224244, 20.056008586787794 50.05451535875275, 20.068106024640077 50.05781579291076, 20.076237826762487 50.04927682804872, 20.072270478885642 50.037435679426586, 20.072270478885642 50.037435679426586))",4869.932348651641,74263.54341182811,164536.52159379396,35,14846373060.587667,7458.678887003601
875262c2bffffff,8988.294874051246,"POLYGON ((20.011593124297125 50.053152983888786, 19.999498457296948 50.04985469306597, 19.991375667834248 50.05838715406412, 19.995345831252692 50.07021615841009, 20.00743808132731 50.07351573525425, 20.015562584770894 50.06498502228005, 20.011593124297125 50.053152983888786, 20.011593124297125 50.053152983888786))",10256.968615437607,162805.84868077424,365516.15555949585,459,14866378601.703686,2650.9658902141473
875262ca9ffffff,0.0,"POLYGON ((19.91514790487398 49.96239097173329, 19.903049193784987 49.95910211641106, 19.894936714300794 49.96764503302226, 19.898921224340846 49.979475066776274, 19.911017522707052 49.982765214331614, 19.919131723619905 49.974224036448234, 19.91514790487398 49.96239097173329, 19.91514790487398 49.96239097173329))",7795.109800579766,80457.41355781123,371813.6471253169,46,15622677248.233982,16552.40320656688
875262c1bffffff,0.0,"POLYGON ((19.927095278212857 49.997886800402505, 19.914999646553788 49.994595080843936, 19.906886164780904 50.003131769118994, 19.91086659501856 50.014958436010886, 19.92295981261384 50.01825144472858, 19.931075013898347 50.009716497943366, 19.927095278212857 49.997886800402505, 19.927095278212857 49.997886800402505))",10310.451111282933,176297.81624835345,823988.644118379,263,14869192470.510029,11181.432042972732
875262d5bffffff,1202.5889786152147,"POLYGON ((20.03955365154266 50.10377707555097, 20.027462776498147 50.10047435708027, 20.019337284226953 50.10899882242485, 20.023300956057586 50.120824254468054, 20.035389412164175 50.12412825483937, 20.043516615238797 50.11560554181548, 20.03955365154266 50.10377707555097, 20.03955365154266 50.10377707555097))",8615.02349774145,58946.962820413886,163741.29856862512,24,15733068417.799942,11962.493260057374
875262ceaffffff,5215.089367733298,"POLYGON ((19.87429075950271 50.06941048351688, 19.862205867241123 50.06611547239806, 19.854099445933304 50.074633212456256, 19.858076198161317 50.0864442197579, 19.87015867461221 50.089740511917235, 19.878266814507434 50.08122451628084, 19.87429075950271 50.06941048351688, 19.87429075950271 50.06941048351688))",4545.32377243255,103406.3941888485,239716.27582696985,113,14905581886.012352,15538.14888856025
875262c21ffffff,4471.9987979824955,"POLYGON ((20.056200872277806 50.022295211841254, 20.04410032777349 50.01899764141678, 20.035971951468706 50.02754010283085, 20.039942405997934 50.03937838771948, 20.052040534085602 50.042677248224244, 20.060170623923156 50.03413653431001, 20.056200872277806 50.022295211841254, 20.056200872277806 50.022295211841254))",6408.286731039506,149823.6608774743,270970.3433952258,493,14845392637.08072,6318.191898332844
875262c76ffffff,14790.802617891035,"POLYGON ((20.00743808132731 50.07351573525425, 19.995345831252692 50.07021615841009, 19.987223764332317 50.07874412375683, 19.991192234049105 50.09056991726849, 20.00328206656872 50.09387077809129, 20.01140584678801 50.08534456197235, 20.00743808132731 50.07351573525425, 20.00743808132731 50.07351573525425))",13113.990451300488,294123.3187320884,734454.0331619196,951,14874038336.67144,6091.768024627499
875262c51ffffff,974.8100213892765,"POLYGON ((19.942661066847556 50.109531236651016, 19.930576443857458 50.10623123751076, 19.922462425535027 50.11474647947914, 19.92643131575871 50.12655997174507, 19.93851352077263 50.129861249819186, 19.94662925339973 50.12134775724069, 19.942661066847556 50.109531236651016, 19.942661066847556 50.109531236651016))",6218.4510245512065,74049.37109821664,193747.11922110847,49,15690547601.557955,14167.834561356145
875262c01ffffff,2128.0052012983656,"POLYGON ((19.99967655423588 50.017650100207334, 19.987578789615625 50.01435467061452, 19.97945699544731 50.022893373167385, 19.98343124985499 50.03472576059516, 19.99552659887821 50.038022479289964, 20.00365010895347 50.02948552200407, 19.99967655423588 50.017650100207334, 19.99967655423588 50.017650100207334))",5928.63971027705,174881.90988704964,376589.6711913407,567,14857754606.953386,3650.596184561859
875262c54ffffff,9947.916721096515,"POLYGON ((19.96701361981146 50.08397005220511, 19.95492484045728 50.080671047660324, 19.946807652006576 50.089193522248124, 19.950777528346126 50.101013253390136, 19.96286389027892 50.104313539907714, 19.97098279315481 50.09579281385832, 19.96701361981146 50.08397005220511, 19.96701361981146 50.08397005220511))",15611.564355210996,286321.4291372644,185688.86630073877,1238,14887413476.665146,8974.747463500385
875262d71ffffff,194.54283466895373,"POLYGON ((20.140697834119912 50.07763141853761, 20.128598350090517 50.07432726342179, 20.120460699034957 50.08286547846947, 20.124420823907865 50.09470609512984, 20.136517888701924 50.09801153717237, 20.144657247719653 50.089475076178424, 20.140697834119912 50.07763141853761, 20.140697834119912 50.07763141853761))",3689.615464479295,30314.449927526934,419507.9145677949,21,14842692966.443722,16537.266272091034
