h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
877ab60b0ffffff,16634.925117526833,"POLYGON ((4.91598548708761 52.38728703457884, 4.927487424717928 52.38676154082281, 4.934112180900541 52.37678886050523, 4.929235388875092 52.36733982208347, 4.917731983069532 52.367864439928105, 4.91110683739458 52.377838972267355, 4.91598548708761 52.38728703457884, 4.91598548708761 52.38728703457884))",10184.976277766487,101503.23142186616,31131.151957174985,476,64618433305.525246,3444.692354782597
877ab6096ffffff,12710.90435634826,"POLYGON ((4.966855623265479 52.39462998172407, 4.97834996581828 52.39410428172237, 4.984974243319708 52.38413484309578, 4.980104569821841 52.374689253387906, 4.968608761417432 52.37521407813504, 4.961984092292035 52.38518536800577, 4.966855623265479 52.39462998172407, 4.966855623265479 52.39462998172407))",10610.952211554482,45566.84879891497,124127.23608691986,28,64422549796.10486,9263.754113401066
877ab609effffff,1183.0762276782982,"POLYGON ((4.988484752376126 52.34529466492295, 4.999980465846619 52.3447712310944, 5.006606421799652 52.33479671095647, 5.001737058401536 52.32534377454301, 4.990239882274612 52.32586633163653, 4.983613532130839 52.33584270203964, 4.988484752376126 52.34529466492295, 4.988484752376126 52.34529466492295))",17321.115925406204,58044.49316562521,1232449.4278726338,341,64420611768.814835,13340.03688679846
877ab6446ffffff,0.0,"POLYGON ((5.050379623249246 52.41979218881896, 5.061860309806052 52.419265563423664, 5.068483310335956 52.40930306515404, 5.063626018938611 52.39986534231496, 5.052143869809569 52.40039109397413, 5.045520474579195 52.41035544236975, 5.050379623249246 52.41979218881896, 5.050379623249246 52.41979218881896))",3301.9671663274285,3963.5002484384313,2069.3531946133576,1,64172039742.99363,19505.646203389744
877ab61a9ffffff,15383.132533812663,"POLYGON ((4.781301201452015 52.35472524066774, 4.792824325812892 52.354200883635194, 4.799450781118295 52.3442180073384, 4.794554496240053 52.334757634320454, 4.7830298981351955 52.335281113260656, 4.776403058583299 52.34526584347268, 4.781301201452015 52.35472524066774, 4.781301201452015 52.35472524066774))",13153.9108757387,157021.73771903192,112592.24775724288,332,64431538968.2898,12730.726284999544
877ab6085ffffff,1382.5138306173253,"POLYGON ((4.921224743003465 52.32900274861883, 4.932731082433258 52.328479884510706, 4.93935792021559 52.31850027069786, 4.934478810085906 52.3090416699467, 4.922971005209759 52.3095636562301, 4.916343775838665 52.31954512125058, 4.921224743003465 52.32900274861883, 4.921224743003465 52.32900274861883))",13237.112548374022,80903.60664893882,181166.27111909728,185,63845373011.56975,10609.445141411898
877ab6465ffffff,5076.415611476689,"POLYGON ((4.983218865921949 52.40354668372681, 4.994710185977444 52.40302062351677, 5.00133407137774 52.39305303596415, 4.996467028753171 52.38360965770878, 4.984974243319708 52.38413484309578, 4.97834996581828 52.39410428172237, 4.983218865921949 52.40354668372681, 4.983218865921949 52.40354668372681))",6736.835702637251,11752.063884981202,4314.246089043639,6,64023732428.65838,11467.850006947674
877ab61a6ffffff,0.0,"POLYGON ((4.75624368914378 52.44294818298897, 4.767762441240335 52.4424198049007, 4.774385753332175 52.43244665989526, 4.769490693510769 52.423000037712825, 4.757970462654228 52.42352754047303, 4.75134677031135 52.43350254090552, 4.75624368914378 52.44294818298897, 4.75624368914378 52.44294818298897))",4714.999561233058,29076.900393409498,9839.111362557802,1088,64008400167.1743,18097.668605707804
877ab61a8ffffff,18819.616816390368,"POLYGON ((4.779572437773955 52.37416386116542, 4.791094087478984 52.37363862667958, 4.797719839761006 52.36365806492688, 4.792824325812892 52.354200883635194, 4.781301201452015 52.35472524066774, 4.774675065626144 52.36470765660697, 4.779572437773955 52.37416386116542, 4.779572437773955 52.37416386116542))",7932.824936509855,94530.72772445512,148010.25945012484,267,63934873008.250496,11938.97312512538
877ab6098ffffff,14125.791225663063,"POLYGON ((4.990239882274612 52.32586633163653, 5.001737058401536 52.32534377454301, 5.008363702748838 52.315366946311464, 5.003493565785525 52.305910825342465, 4.991994927912023 52.306432505064066, 4.985367888676742 52.31641118328766, 4.990239882274612 52.32586633163653, 4.990239882274612 52.32586633163653))",11472.565964417396,89312.89392753251,1316411.3091925578,286,63965214133.51593,15610.89702822276
